id,city,state,2016_estimate,2010,2016 area,density,location
1,New York[6], New York,"8,537,673","8,175,133",780.9 km2,"10,933/km2",40.6635°N 73.9387°W
2,Los Angeles, California,"3,976,322","3,792,621","1,213.9 km2","3,276/km2",34.0194°N 118.4108°W
3,Chicago, Illinois,"2,704,958","2,695,598",588.7 km2,"4,600/km2",41.8376°N 87.6818°W
4,Houston[7], Texas,"2,303,482","2,100,263","1,651.1 km2","1,395/km2",29.7866°N 95.3909°W
5,Phoenix, Arizona,"1,615,017","1,445,632","1,340.6 km2","1,200/km2",33.5722°N 112.0901°W
6,Philadelphia[8], Pennsylvania,"1,567,872","1,526,006",347.6 km2,"4,511/km2",40.0094°N 75.1333°W
7,San Antonio, Texas,"1,492,510","1,327,407","1,194.0 km2","1,250/km2",29.4724°N 98.5251°W
8,San Diego, California,"1,406,630","1,307,402",842.3 km2,"1,670/km2",32.8153°N 117.1350°W
9,Dallas, Texas,"1,317,929","1,197,816",882.9 km2,"1,493/km2",32.7933°N 96.7665°W
10,San Jose, California,"1,025,350","945,942",459.7 km2,"2,231/km2",37.2967°N 121.8189°W
11,Austin, Texas,"947,890","790,390",809.9 km2,"1,170/km2",30.3039°N 97.7544°W
12,Jacksonville[9], Florida,"880,619","821,784","1,935.8 km2",455/km2,30.3369°N 81.6616°W
13,San Francisco[10], California,"870,887","805,235",121.5 km2,"7,170/km2",37.7272°N 123.0322°W
14,Columbus, Ohio,"860,090","787,033",565.9 km2,"1,520/km2",39.9852°N 82.9848°W
15,Indianapolis[11], Indiana,"855,164","820,445",936.3 km2,914/km2,39.7767°N 86.1459°W
16,Fort Worth, Texas,"854,113","741,206",888.1 km2,962/km2,32.7815°N 97.3467°W
17,Charlotte, North Carolina,"842,051","731,424",791.0 km2,"1,064/km2",35.2078°N 80.8310°W
18,Seattle, Washington,"704,352","608,660",217.0 km2,"3,245/km2",47.6205°N 122.3509°W
19,Denver[12], Colorado,"693,060","600,158",397.0 km2,"1,746/km2",39.7619°N 104.8811°W
20,El Paso, Texas,"683,080","649,121",665.1 km2,"1,030/km2",31.8484°N 106.4270°W
21,Washington[13], District of Columbia,"681,170","601,723",158.2 km2,"4,304/km2",38.9041°N 77.0172°W
22,Boston, Massachusetts,"673,184","617,594",125.1 km2,"5,381/km2",42.3320°N 71.0202°W
23,Detroit, Michigan,"672,795","713,777",359.5 km2,"1,871/km2",42.3830°N 83.1022°W
24,Nashville[14], Tennessee,"660,388","601,222","1,232.6 km2",536/km2,36.1718°N 86.7850°W
25,Memphis, Tennessee,"652,717","646,889",822.1 km2,794/km2,35.1028°N 89.9774°W
26,Portland, Oregon,"639,863","583,776",345.8 km2,"1,851/km2",45.5370°N 122.6500°W
27,Oklahoma City, Oklahoma,"638,367","579,999","1,570.3 km2",407/km2,35.4671°N 97.5137°W
28,Las Vegas, Nevada,"632,912","583,756",348.1 km2,"1,818/km2",36.2292°N 115.2601°W
29,Louisville[15], Kentucky,"616,261","597,337",682.5 km2,903/km2,38.1654°N 85.6474°W
30,Baltimore[16], Maryland,"614,664","620,961",209.5 km2,"2,934/km2",39.3000°N 76.6105°W
31,Milwaukee, Wisconsin,"595,047","594,833",249.2 km2,"2,388/km2",43.0633°N 87.9667°W
32,Albuquerque, New Mexico,"559,277","545,852",487.4 km2,"1,147/km2",35.1056°N 106.6474°W
33,Tucson, Arizona,"530,706","520,116",597.8 km2,888/km2,32.1531°N 110.8706°W
34,Fresno, California,"522,053","494,665",296.3 km2,"1,762/km2",36.7836°N 119.7934°W
35,Sacramento, California,"495,234","466,488",253.6 km2,"1,953/km2",38.5666°N 121.4686°W
36,Mesa, Arizona,"484,587","439,041",357.2 km2,"1,357/km2",33.4019°N 111.7174°W
37,Kansas City, Missouri,"481,420","459,787",815.8 km2,590/km2,39.1251°N 94.5510°W
38,Atlanta, Georgia,"472,522","420,003",345.8 km2,"1,366/km2",33.7629°N 84.4227°W
39,Long Beach, California,"470,130","462,257",130.3 km2,"3,609/km2",33.8092°N 118.1553°W
40,Colorado Springs, Colorado,"465,101","416,427",506.6 km2,918/km2,38.8673°N 104.7607°W
41,Raleigh, North Carolina,"458,880","403,892",375.8 km2,"1,221/km2",35.8306°N 78.6418°W
42,Miami, Florida,"453,579","399,457",93.2 km2,"4,865/km2",25.7752°N 80.2086°W
43,Virginia Beach[16], Virginia,"452,602","437,994",633.8 km2,710/km2,36.7800°N 76.0252°W
44,Omaha, Nebraska,"446,970","408,958",345.0 km2,"1,296/km2",41.2644°N 96.0451°W
45,Oakland, California,"420,005","390,724",144.8 km2,"2,901/km2",37.7698°N 122.2257°W
46,Minneapolis, Minnesota,"413,651","382,578",139.9 km2,"2,960/km2",44.9633°N 93.2683°W
47,Tulsa, Oklahoma,"403,090","391,906",509.7 km2,791/km2,36.1279°N 95.9023°W
48,Arlington, Texas,"392,772","365,438",248.1 km2,"1,600/km2",32.7007°N 97.1247°W
49,New Orleans[17], Louisiana,"391,495","343,829",438.7 km2,892/km2,30.0534°N 89.9345°W
50,Wichita, Kansas,"389,902","382,368",415.4 km2,939/km2,37.6907°N 97.3459°W
51,Cleveland, Ohio,"385,809","396,815",201.2 km2,"1,917/km2",41.4785°N 81.6794°W
52,Tampa, Florida,"377,165","335,709",293.7 km2,"1,284/km2",27.9701°N 82.4797°W
53,Bakersfield, California,"376,380","347,483",385.4 km2,976/km2,35.3212°N 119.0183°W
54,Aurora, Colorado,"361,710","325,078",397.6 km2,910/km2,39.6880°N 104.6897°W
55,Honolulu[2], Hawaii,"351,792","337,256",156.7 km2,"2,245/km2",21.3243°N 157.8476°W
56,Anaheim, California,"351,043","336,265",129.5 km2,"2,711/km2",33.8555°N 117.7601°W
57,Santa Ana, California,"334,217","324,528",70.2 km2,"4,762/km2",33.7363°N 117.8830°W
58,Corpus Christi, Texas,"325,733","305,215",452.2 km2,720/km2,27.7543°N 97.1734°W
59,Riverside, California,"324,722","303,871",210.3 km2,"1,544/km2",33.9381°N 117.3932°W
60,Lexington[18], Kentucky,"318,449","295,803",734.5 km2,434/km2,38.0407°N 84.4583°W
61,St. Louis[16], Missouri,"311,404","319,294",160.6 km2,"1,939/km2",38.6357°N 90.2446°W
62,Stockton, California,"307,072","291,707",159.8 km2,"1,922/km2",37.9763°N 121.3133°W
63,Pittsburgh, Pennsylvania,"303,625","305,704",143.5 km2,"2,116/km2",40.4398°N 79.9766°W
64,Saint Paul, Minnesota,"302,398","285,068",134.7 km2,"2,245/km2",44.9489°N 93.1041°W
65,Cincinnati, Ohio,"298,800","296,943",200.5 km2,"1,490/km2",39.1402°N 84.5058°W
66,Anchorage[19], Alaska,"298,192","291,826","4,420.1 km2",68/km2,61.1743°N 149.2843°W
67,Henderson, Nevada,"292,969","257,729",271.2 km2,"1,080/km2",36.0097°N 115.0357°W
68,Greensboro, North Carolina,"287,027","269,666",332.3 km2,864/km2,36.0951°N 79.8270°W
69,Plano, Texas,"286,057","259,841",185.7 km2,"1,540/km2",33.0508°N 96.7479°W
70,Newark, New Jersey,"281,764","277,140",62.4 km2,"4,514/km2",40.7242°N 74.1726°W
71,Lincoln, Nebraska,"280,364","258,379",238.5 km2,"1,175/km2",40.8105°N 96.6803°W
72,Toledo, Ohio,"278,508","287,208",209.0 km2,"1,332/km2",41.6641°N 83.5819°W
73,Orlando, Florida,"277,173","238,300",272.5 km2,"1,017/km2",28.4166°N 81.2736°W
74,Chula Vista, California,"267,172","243,916",128.5 km2,"2,080/km2",32.6277°N 117.0152°W
75,Irvine, California,"266,122","212,375",169.9 km2,"1,566/km2",33.6784°N 117.7713°W
76,Fort Wayne, Indiana,"264,488","253,691",286.5 km2,923/km2,41.0882°N 85.1439°W
77,Jersey City, New Jersey,"264,152","247,597",38.3 km2,"6,891/km2",40.7114°N 74.0648°W
78,Durham, North Carolina,"263,016","228,330",284.4 km2,925/km2,35.9811°N 78.9029°W
79,St. Petersburg, Florida,"260,999","244,769",160.1 km2,"1,631/km2",27.7620°N 82.6441°W
